Roll,Name,Email,Branch
1401AI01,Abhishek,Abhishek@mycollege.in,AI
1401AI02,Aman,Aman@mycollege.in,AI
1401AI03,Harsh,Harsh@mycollege.in,AI
1401AI04,Ayush,Ayush@mycollege.in,AI
1401AI05,Aditi,Aditi@mycollege.in,AI
1401AI06,Anjali,Anjali@mycollege.in,AI
1401AI07,Shubham,Shubham@mycollege.in,AI
1401AI08,Anushka,Anushka@mycollege.in,AI
1401AI09,Rohit,Rohit@mycollege.in,AI
1401AI10,Saurabh,Saurabh@mycollege.in,AI
1401AI11,Muskan,Muskan@mycollege.in,AI
1401AI12,Rahul,Rahul@mycollege.in,AI
1401AI13,Utkarsh,Utkarsh@mycollege.in,AI
1401AI14,Vaibhav,Vaibhav@mycollege.in,AI
1401AI15,Amit,Amit@mycollege.in,AI
1401AI16,Saumya,Saumya@mycollege.in,AI
1401AI17,Rishabh,Rishabh@mycollege.in,AI
1401AI18,Shruti,Shruti@mycollege.in,AI
1401AI19,Himanshu,Himanshu@mycollege.in,AI
1401AI20,Kajal,Kajal@mycollege.in,AI
1401AI21,Ankit,Ankit@mycollege.in,AI
1401AI22,Gaurav,Gaurav@mycollege.in,AI
1401AI23,Nikhil,Nikhil@mycollege.in,AI
1401AI24,Siddharth,Siddharth@mycollege.in,AI
1401AI25,Prashant,Prashant@mycollege.in,AI
1401AI26,Priya,Priya@mycollege.in,AI
1401AI27,Harshit,Harshit@mycollege.in,AI
1401AI28,Shashank,Shashank@mycollege.in,AI
1401AI29,Akash,Akash@mycollege.in,AI
1401AI30,Varun,Varun@mycollege.in,AI
1401AI31,Yash,Yash@mycollege.in,AI
1401AI32,Shreya,Shreya@mycollege.in,AI
1401AI33,Harshita,Harshita@mycollege.in,AI
1401AI34,Anurag,Anurag@mycollege.in,AI
1401AI35,Vivek,Vivek@mycollege.in,AI
1401AI36,Swati,Swati@mycollege.in,AI
1401AI37,Vishal,Vishal@mycollege.in,AI
1401AI38,Aditya,Aditya@mycollege.in,AI
1401AI39,Nidhi,Nidhi@mycollege.in,AI
1401AI40,Ayushi,Ayushi@mycollege.in,AI
1401AI41,Krishna,Krishna@mycollege.in,AI
1401AI42,Anshika,Anshika@mycollege.in,AI
1401AI43,Sakshi,Sakshi@mycollege.in,AI
1401AI44,Shivani,Shivani@mycollege.in,AI
1401AI45,Prakhar,Prakhar@mycollege.in,AI
