Roll,Name,Email,Branch
1401CH01,Nitesh,Nitesh@mycollege.in,CH
1401CH02,Ganesh,Ganesh@mycollege.in,CH
1401CH03,Naveen,Naveen@mycollege.in,CH
1401CH04,Shikhar,Shikhar@mycollege.in,CH
1401CH05,Jitendra,Jitendra@mycollege.in,CH
1401CH06,Chirag,Chirag@mycollege.in,CH
1401CH07,Abhay,Abhay@mycollege.in,CH
1401CH08,Lucky,Lucky@mycollege.in,CH
1401CH09,Smriti,Smriti@mycollege.in,CH
1401CH10,Manu,Manu@mycollege.in,CH
1401CH11,Deependra,Deependra@mycollege.in,CH
1401CH12,Anoop,Anoop@mycollege.in,CH
1401CH13,Devendra,Devendra@mycollege.in,CH
1401CH14,Diksha,Diksha@mycollege.in,CH
1401CH15,Muskaan,Muskaan@mycollege.in,CH
1401CH16,Divyansh,Divyansh@mycollege.in,CH
1401CH17,Kushal,Kushal@mycollege.in,CH
1401CH18,Nitish,Nitish@mycollege.in,CH
1401CH19,Preeti,Preeti@mycollege.in,CH
1401CH20,Anand,Anand@mycollege.in,CH
1401CH21,Hemant,Hemant@mycollege.in,CH
1401CH22,Amol,Amol@mycollege.in,CH
1401CH23,Sonal,Sonal@mycollege.in,CH
1401CH24,Rishab,Rishab@mycollege.in,CH
1401CH25,Shashwat,Shashwat@mycollege.in,CH
1401CH26,Shatakshi,Shatakshi@mycollege.in,CH
1401CH27,Supriya,Supriya@mycollege.in,CH
1401CH28,Anchal,Anchal@mycollege.in,CH
1401CH29,Simran,Simran@mycollege.in,CH
1401CH30,Srijan,Srijan@mycollege.in,CH
1401CH31,Ashwani,Ashwani@mycollege.in,CH
1401CH32,Stuti,Stuti@mycollege.in,CH
1401CH33,Abhijeet,Abhijeet@mycollege.in,CH
1401CH34,Harshvardhan,Harshvardhan@mycollege.in,CH
1401CH35,Ajit,Ajit@mycollege.in,CH
1401CH36,Poornima,Poornima@mycollege.in,CH
1401CH37,Anil,Anil@mycollege.in,CH
1401CH38,Mahendra,Mahendra@mycollege.in,CH
1401CH39,Ahmad,Ahmad@mycollege.in,CH
1401CH40,Shalini,Shalini@mycollege.in,CH
1401CH41,Abhijit,Abhijit@mycollege.in,CH
1401CH42,Suyash,Suyash@mycollege.in,CH
1401CH43,Sanskriti,Sanskriti@mycollege.in,CH
1401CH44,Danish,Danish@mycollege.in,CH
1401CH45,Tamanna,Tamanna@mycollege.in,CH
1401CH46,Unnati,Unnati@mycollege.in,CH
1401CH47,Sachin,Sachin@mycollege.in,CH
1401CH48,Anupam,Anupam@mycollege.in,CH
1401CH49,Shailesh,Shailesh@mycollege.in,CH
1401CH50,Shoaib,Shoaib@mycollege.in,CH
1401CH51,Vishnu,Vishnu@mycollege.in,CH
1401CH52,Surya,Surya@mycollege.in,CH
1401CH53,Pankaj,Pankaj@mycollege.in,CH
1401CH54,Kaif,Kaif@mycollege.in,CH
1401CH55,Pooja,Pooja@mycollege.in,CH
1401CH56,Gayathri,Gayathri@mycollege.in,CH
1401CH57,Pradeep,Pradeep@mycollege.in,CH
1401CH58,Ritu,Ritu@mycollege.in,CH
1401CH59,Dinesh,Dinesh@mycollege.in,CH
1401CH60,Shriya,Shriya@mycollege.in,CH
1401CH61,Tharun,Tharun@mycollege.in,CH
1401CH62,Karan,Karan@mycollege.in,CH
1401CH63,Kiran,Kiran@mycollege.in,CH
1401CH64,Tarun,Tarun@mycollege.in,CH
1401CH65,Samarth,Samarth@mycollege.in,CH
1401CH66,Ruchi,Ruchi@mycollege.in,CH
1401CH67,Udit,Udit@mycollege.in,CH
1401CH68,Rashi,Rashi@mycollege.in,CH
1401CH69,Shailendra,Shailendra@mycollege.in,CH
1401CH70,Sameer,Sameer@mycollege.in,CH
1401CH71,Shubhi,Shubhi@mycollege.in,CH
1401CH72,Siddhant,Siddhant@mycollege.in,CH
1401CH73,Mahi,Mahi@mycollege.in,CH
1401CH74,Kanika,Kanika@mycollege.in,CH
1401CH75,Aishwarya,Aishwarya@mycollege.in,CH
1401CH76,Rajat,Rajat@mycollege.in,CH
1401CH77,Rituraj,Rituraj@mycollege.in,CH
1401CH78,Naman,Naman@mycollege.in,CH
1401CH79,Mukesh,Mukesh@mycollege.in,CH
1401CH80,Roshan,Roshan@mycollege.in,CH
1401CH81,Nandini,Nandini@mycollege.in,CH
1401CH82,Rashmi,Rashmi@mycollege.in,CH
1401CH83,Vigneshwaran,Vigneshwaran@mycollege.in,CH
1401CH84,Kriti,Kriti@mycollege.in,CH
