Roll,Name,Email,Branch
1401CH57,Pradeep,Pradeep@mycollege.in,CH
1401CH58,Ritu,Ritu@mycollege.in,CH
1401CH59,Dinesh,Dinesh@mycollege.in,CH
1401CH60,Shriya,Shriya@mycollege.in,CH
1401CH61,Tharun,Tharun@mycollege.in,CH
1401CH62,Karan,Karan@mycollege.in,CH
1401CH63,Kiran,Kiran@mycollege.in,CH
1401CS57,Suryansh,Suryansh@mycollege.in,CS
1401CS58,Yashaswi,Yashaswi@mycollege.in,CS
1401CS59,Avinash,Avinash@mycollege.in,CS
1401CS60,Smita,Smita@mycollege.in,CS
1401CS61,Subhra,Subhra@mycollege.in,CS
1401CS62,Tuhin,Tuhin@mycollege.in,CS
1401CS63,Arti,Arti@mycollege.in,CS
1401CT57,Kushagra,Kushagra@mycollege.in,CT
1401CT58,Hariom,Hariom@mycollege.in,CT
1401CT59,Gargi,Gargi@mycollege.in,CT
1401CT60,Janvi,Janvi@mycollege.in,CT
1401CT61,Jai,Jai@mycollege.in,CT
1401CT62,Naziya,Naziya@mycollege.in,CT
1401CT63,Ragini,Ragini@mycollege.in,CT
1401EC48,Durgesh,Durgesh@mycollege.in,EC
1401EC49,Dipa,Dipa@mycollege.in,EC
1401EC50,Rohith,Rohith@mycollege.in,EC
1401EC51,Jagadeesh,Jagadeesh@mycollege.in,EC
1401EC52,Indu,Indu@mycollege.in,EC
1401EC53,Shyam,Shyam@mycollege.in,EC
1401EC54,Shreyas,Shreyas@mycollege.in,EC
1401MC48,Love,Love@mycollege.in,MC
1401MC49,Lekhraj,Lekhraj@mycollege.in,MC
1401MC50,Sahil,Sahil@mycollege.in,MC
1401MC51,Seshikanth,Seshikanth@mycollege.in,MC
1401MC52,Kalpana,Kalpana@mycollege.in,MC
1401MC53,Santosh,Santosh@mycollege.in,MC
1401MM48,Shreepriya,Shreepriya@mycollege.in,MM
1401MM49,Nahid,Nahid@mycollege.in,MM
1401MM50,Sharique,Sharique@mycollege.in,MM
1401MM51,Anusha,Anusha@mycollege.in,MM
1401MM52,Anunay,Anunay@mycollege.in,MM
1401MM53,Vidit,Vidit@mycollege.in,MM
1401MT47,Eshma,Eshma@mycollege.in,MT
1401MT48,Aruba,Aruba@mycollege.in,MT
1401MT49,Ehtisham,Ehtisham@mycollege.in,MT
1401MT50,Nitya,Nitya@mycollege.in,MT
1401MT51,Nishu,Nishu@mycollege.in,MT
1401MT52,Noorsaba,Noorsaba@mycollege.in,MT
