Roll,Name,Email,Branch
1401AI37,Vishal,Vishal@mycollege.in,AI
1401AI38,Aditya,Aditya@mycollege.in,AI
1401AI39,Nidhi,Nidhi@mycollege.in,AI
1401AI40,Ayushi,Ayushi@mycollege.in,AI
1401AI41,Krishna,Krishna@mycollege.in,AI
1401AI42,Anshika,Anshika@mycollege.in,AI
1401AI43,Sakshi,Sakshi@mycollege.in,AI
1401EC52,Indu,Indu@mycollege.in,EC
1401EC53,Shyam,Shyam@mycollege.in,EC
1401EC54,Shreyas,Shreyas@mycollege.in,EC
1401MM47,Chhavi,Chhavi@mycollege.in,MM
1401MM48,Shreepriya,Shreepriya@mycollege.in,MM
1401MM49,Nahid,Nahid@mycollege.in,MM
1401MM50,Sharique,Sharique@mycollege.in,MM
1401MM51,Anusha,Anusha@mycollege.in,MM
1401MM52,Anunay,Anunay@mycollege.in,MM
1401MM53,Vidit,Vidit@mycollege.in,MM
1401MM54,Shwetanshi,Shwetanshi@mycollege.in,MM
1401MM55,Anshit,Anshit@mycollege.in,MM
1401MM56,Anubhuti,Anubhuti@mycollege.in,MM
1401MM57,Vashif,Vashif@mycollege.in,MM
1401MM58,Jahangeer,Jahangeer@mycollege.in,MM
1401MM59,Sharanya,Sharanya@mycollege.in,MM
1401MM60,Saudamini,Saudamini@mycollege.in,MM
1401MM61,Arshad,Arshad@mycollege.in,MM
1401MM62,Yeram,Yeram@mycollege.in,MM
1401MM63,Asad,Asad@mycollege.in,MM
1401MM64,Asthana,Asthana@mycollege.in,MM
1401MM65,Asmita,Asmita@mycollege.in,MM
1401MM66,Ashal,Ashal@mycollege.in,MM
1401MM67,Zeal,Zeal@mycollege.in,MM
1401MM68,Areeb,Areeb@mycollege.in,MM
1401MM69,Archita,Archita@mycollege.in,MM
1401MM70,Archi,Archi@mycollege.in,MM
1401MM71,Arish,Arish@mycollege.in,MM
1401MM72,Shyamali,Shyamali@mycollege.in,MM
1401MM73,Sejal,Sejal@mycollege.in,MM
1401MM74,Shaileja,Shaileja@mycollege.in,MM
1401MM75,Gitanshu,Gitanshu@mycollege.in,MM
1401MM76,Mansoon,Mansoon@mycollege.in,MM
1401MM77,Akshaya,Akshaya@mycollege.in,MM
1401MM78,Madhusri,Madhusri@mycollege.in,MM
1401MM79,Meet,Meet@mycollege.in,MM
1401MM80,Prajeeth,Prajeeth@mycollege.in,MM
1401MM81,Gyanvi,Gyanvi@mycollege.in,MM
1401MM82,Govindam,Govindam@mycollege.in,MM
